epoch,train_huber_loss,val_huber_loss,val_mae_solidVolume,val_rmse_solidVolume,val_r2_solidVolume,val_mae_surfaceVolume,val_rmse_surfaceVolume,val_r2_surfaceVolume,val_mae_supportSurfaceArea,val_rmse_supportSurfaceArea,val_r2_supportSurfaceArea,val_mae_aligned_dim_x,val_rmse_aligned_dim_x,val_r2_aligned_dim_x,val_mae_aligned_dim_y,val_rmse_aligned_dim_y,val_r2_aligned_dim_y,val_mae_aligned_dim_z,val_rmse_aligned_dim_z,val_r2_aligned_dim_z,lr,epoch_time_s
34,0.072837,0.053399,0.03418820,0.07358935,0.89407161,0.00822850,0.01683871,0.88753225,0.02290961,0.04302353,0.67006767,0.10494440,0.15622152,0.91298895,0.06931477,0.10739282,0.93930238,0.09440878,0.15784487,0.83296794,2.80e-04,39.85
35,0.074116,0.051096,0.03323801,0.07063740,0.90239955,0.00690985,0.01428390,0.91907103,0.02522774,0.04712354,0.60418829,0.09406182,0.14593536,0.92406995,0.05666473,0.09131809,0.95611311,0.08994627,0.14210123,0.86462623,2.79e-04,39.83
36,0.072542,0.047803,0.02849264,0.06414605,0.91951364,0.00634596,0.01237988,0.93920843,0.02248194,0.04288282,0.67222221,0.09810109,0.15309037,0.91644193,0.06765658,0.11708204,0.92785574,0.08854285,0.14762415,0.85389884,2.77e-04,39.85
37,0.075503,0.050182,0.02678797,0.06137254,0.92632322,0.00651304,0.01368276,0.92573948,0.02388699,0.04475372,0.64299757,0.10425574,0.16232570,0.90605638,0.05155546,0.09009130,0.95728436,0.09441245,0.16136052,0.82544454,2.76e-04,40.04
38,0.072197,0.058063,0.03183658,0.07012926,0.90379869,0.00944375,0.02051235,0.83310589,0.02361711,0.04490103,0.64064358,0.12577648,0.18903008,0.87260437,0.05885381,0.10002088,0.94734950,0.09093603,0.15520467,0.83850895,2.75e-04,40.08
39,0.068910,0.054644,0.02966351,0.06234034,0.92398124,0.00872946,0.01712245,0.88371009,0.02542920,0.04768918,0.59462914,0.10258723,0.16024697,0.90844705,0.05896626,0.10015716,0.94720592,0.08957176,0.14182095,0.86515973,2.74e-04,40.04
40,0.067720,0.055088,0.03140971,0.07043029,0.90297103,0.00930418,0.01942899,0.85026936,0.02280005,0.04427420,0.65060689,0.10695598,0.16766344,0.89977653,0.05902613,0.09608839,0.95140820,0.08754198,0.14530307,0.85845699,2.72e-04,40.07
41,0.070507,0.050484,0.02815689,0.06211809,0.92452230,0.00726368,0.01497069,0.91110156,0.02408296,0.04728996,0.60138761,0.10899986,0.17021999,0.89669678,0.05087416,0.08385192,0.96299613,0.08952069,0.15076235,0.84762116,2.71e-04,39.91
42,0.064885,0.050883,0.03002525,0.06590210,0.91504656,0.00711396,0.01461295,0.91529944,0.02529846,0.04568815,0.62793401,0.10904906,0.16857569,0.89868295,0.06246133,0.10142120,0.94586493,0.08642962,0.13856715,0.87127604,2.70e-04,39.91
43,0.066080,0.045517,0.02664750,0.06086173,0.92754457,0.00618454,0.01255885,0.93743813,0.02174803,0.04187863,0.68739364,0.08885650,0.14260769,0.92749323,0.05316721,0.08274537,0.96396632,0.09535020,0.15642476,0.83595997,2.68e-04,39.90
